Dni od zakupu,Marka,Wiek kupującego,Płeć kupującego,Ocena
6,Electrolux,42.0,M,3.5
3,Samsung,35.0,K,1.5
4,Beko,28.0,M,5.0
6,Beko,39.0,M,1.5
3,Beko,49.0,K,2.5
5,Beko,50.0,M,2.0
9,Beko,40.0,M,2.0
8,Beko,48.0,M,3.5
3,Tefal,46.0,K,2.5
11,Beko,29.0,M,1.5
8,Tefal,43.0,M,3.0
7,Dyson,41.0,M,4.0
9,Electrolux,54.0,M,2.5
5,Beko,55.0,K,2.0
8,Electrolux,57.0,M,2.5
5,Dyson,45.0,K,3.0
6,Samsung,48.0,M,3.5
4,Beko,33.0,M,2.0
11,Electrolux,65.0,M,1.5
6,Beko,34.0,M,2.0
4,Dyson,52.0,M,3.5
14,Beko,28.0,M,2.0
5,Beko,27.0,K,4.5
9,Beko,30.0,M,1.5
8,Beko,56.0,M,2.0
10,Beko,41.0,M,2.0
6,Beko,30.0,M,3.0
9,Beko,29.0,K,2.0
6,Electrolux,21.0,M,1.0
4,Tefal,48.0,K,2.5
8,Beko,25.0,M,4.5
9,Beko,19.0,M,1.5
9,Beko,35.0,M,3.5
9,Tefal,39.0,K,1.5
6,Beko,42.0,K,3.0
4,Beko,44.0,M,1.5
8,Beko,50.0,M,3.5
4,Beko,38.0,M,4.0
10,Beko,39.0,M,2.0
8,Dyson,40.0,M,2.5
5,Beko,44.0,M,2.0
4,Beko,36.0,M,5.0
4,Beko,30.0,K,0.5
7,Electrolux,40.0,M,2.5
10,Beko,46.0,M,1.5
3,Beko,44.0,M,3.5
8,Beko,44.0,K,0.5
10,Beko,27.0,K,1.0
5,Beko,48.0,K,2.0
13,Beko,48.0,M,2.0
10,Beko,34.0,M,3.0
10,Tefal,37.0,K,4.0
7,Beko,41.0,K,3.5
10,Beko,47.0,M,4.0
4,Tefal,51.0,M,0.5
7,Samsung,41.0,M,4.0
4,Beko,44.0,M,1.0
5,Beko,44.0,K,2.0
13,Beko,40.0,M,3.0
11,Beko,31.0,K,4.0
5,Beko,47.0,K,1.5
12,Beko,38.0,K,2.5
4,Beko,48.0,M,3.0
7,Dyson,36.0,M,4.5
5,Beko,20.0,M,3.0
8,Dyson,40.0,M,1.0
7,Dyson,32.0,K,5.0
10,Beko,59.0,M,3.5
4,Beko,37.0,K,3.5
7,Tefal,45.0,M,1.5
7,Beko,36.0,K,2.0
7,Beko,38.0,M,1.5
4,Beko,67.0,M,4.5
9,Beko,49.0,K,2.0
8,Beko,49.0,K,2.0
7,Beko,40.0,K,1.5
7,Beko,34.0,M,4.5
6,Beko,36.0,K,2.5
7,Electrolux,40.0,M,1.5
7,Tefal,38.0,K,2.5
8,Beko,47.0,M,1.5
6,Beko,53.0,M,1.0
9,Beko,47.0,M,1.5
4,Beko,25.0,K,2.5
3,Beko,52.0,K,1.0
3,Beko,37.0,M,2.0
6,Beko,44.0,K,4.0
6,Electrolux,23.0,M,3.5
9,Beko,34.0,M,4.0
11,Beko,31.0,M,3.0
7,Beko,42.0,K,3.0
5,Beko,62.0,M,4.5
7,Beko,23.0,K,4.0
8,Beko,37.0,M,3.5
6,Beko,55.0,K,1.5
8,Electrolux,32.0,K,2.5
7,Beko,29.0,M,2.0
6,Beko,28.0,M,3.0
5,Beko,47.0,K,5.0
13,Beko,43.0,K,3.5
9,Electrolux,25.0,M,3.0
14,Beko,31.0,K,2.5
11,Beko,42.0,M,2.5
9,Beko,35.0,K,0.5
7,Beko,58.0,M,2.5
4,Beko,34.0,M,2.5
6,Beko,40.0,M,3.0
7,Beko,39.0,M,3.0
10,Beko,49.0,M,3.5
8,Beko,36.0,K,2.0
8,Beko,18.0,K,4.0
7,Tefal,41.0,M,2.5
5,Samsung,33.0,K,3.5
5,Beko,33.0,M,2.0
8,Electrolux,40.0,K,1.5
7,Beko,47.0,K,2.0
12,Dyson,40.0,K,1.5
4,Beko,45.0,M,1.5
6,Beko,36.0,K,5.0
5,Beko,36.0,K,3.5
9,Electrolux,44.0,M,1.5
9,Beko,38.0,M,2.0
11,Tefal,31.0,M,3.5
9,Beko,25.0,K,1.0
8,Beko,59.0,M,1.5
5,Beko,41.0,M,4.0
8,Beko,26.0,K,3.0
10,Beko,53.0,K,2.5
9,Beko,32.0,M,3.5
11,Beko,30.0,M,3.5
7,Beko,50.0,M,1.0
9,Beko,32.0,K,3.0
13,Beko,28.0,M,1.5
10,Beko,43.0,M,1.5
6,Dyson,32.0,K,2.0
11,Beko,35.0,M,2.5
7,Tefal,28.0,K,2.5
9,Beko,47.0,K,2.0
5,Electrolux,36.0,M,3.5
4,Samsung,37.0,M,3.0
7,Tefal,31.0,K,2.0
7,Beko,43.0,M,2.5
4,Beko,48.0,K,1.0
7,Tefal,42.0,K,2.5
12,Beko,41.0,K,4.0
7,Beko,44.0,M,2.5
4,Beko,37.0,K,1.0
7,Beko,42.0,M,3.5
10,Tefal,52.0,K,1.0
10,Beko,26.0,M,3.0
6,Beko,49.0,M,2.0
2,Beko,38.0,M,3.5
8,Beko,48.0,M,1.0
2,Beko,38.0,K,3.5
3,Dyson,41.0,M,4.0
5,Beko,43.0,M,2.0
7,Beko,43.0,M,2.0
10,Beko,25.0,M,4.5
1,Electrolux,41.0,K,1.0
9,Dyson,55.0,M,3.0
5,Beko,38.0,M,2.5
9,Samsung,39.0,M,1.0
3,Beko,49.0,M,2.5
11,Beko,28.0,M,0.5
6,Dyson,53.0,K,2.0
6,Beko,27.0,M,3.5
4,Beko,40.0,M,1.0
11,Beko,39.0,M,3.0
8,Beko,35.0,M,2.0
7,Beko,44.0,M,0.5
6,Beko,44.0,M,1.0
15,Beko,40.0,M,1.0
6,Beko,32.0,M,2.5
6,Beko,47.0,K,4.0
10,Tefal,34.0,M,2.0
8,Beko,19.0,M,2.5
9,Electrolux,50.0,K,3.0
5,Tefal,41.0,M,3.0
11,Beko,61.0,M,1.0
